	item	gold	elman	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
169	perturbative	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 t/1 i/0 v/0 e/0	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 T/0 i/0 v/0 e/0	0	0	1	0	1
170	stylistic	s/1 t/0 y/0 l/1 i/0 s/0 t/1 i/0 c/0	s/1 t/0 y/0 l/1 I/1 s/0 T/0 i/0 c/0	0	0	1	0	1
171	andy	r/1 a/0 n/0 d/0 y/1	/1 a/0 n/0 d/0 Y/0	0	0	1	0	1
172	maraude	m/1 a/0 r/1 a/0 u/0 d/0 e/1 r/0	m/1 a/0 R/0 a/0 u/0 D/1 E/0 r/0	1	0	1	0	2
173	epetition	r/1 e/0 p/0 e/1 t/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 P/1 E/0 T/0 I/1 t/1 i/0 o/0 n/0	1	1	0	0	2
174	eputable	r/1 e/0 p/0 u/1 t/1 a/0 b/1 l/0 e/0	/1 e/0 P/1 U/0 T/0 a/0 b/1 l/0 e/0	1	0	1	0	2
175	groceries	g/1 r/0 o/0 c/1 e/0 r/0 i/1 e/0 s/0	g/1 r/0 o/0 C/0 e/0 r/0 i/1 e/0 s/0	0	0	1	0	1
176	mammalian	m/1 a/0 m/0 m/1 a/0 l/1 i/0 a/1 n/0	m/1 a/0 m/0 m/1 a/0 L/0 I/1 A/0 n/0	1	1	0	0	2
177	foothill	f/1 o/0 o/0 t/0 h/1 i/0 l/0 l/0	f/1 o/0 o/0 t/0 H/0 i/0 l/0 l/0	0	0	1	0	1
178	imagines	i/1 m/1 a/0 g/1 i/0 n/1 e/0 s/0	i/1 M/0 A/1 G/0 I/1 N/0 e/0 s/0	3	0	0	0	3
179	shamanism	s/1 h/0 a/0 m/1 a/0 n/0 i/1 s/0 m/0	s/1 h/0 a/0 M/0 a/0 n/0 i/1 s/0 m/0	0	0	1	0	1
180	hazelnut	h/1 a/0 z/1 e/0 l/0 n/1 u/0 t/0	h/1 a/0 Z/0 e/0 l/0 n/1 u/0 t/0	0	0	1	0	1
181	finde	f/1 i/0 n/0 d/0 e/1 r/0	f/1 i/0 n/0 d/0 E/0 r/0	0	0	1	0	1
182	elev	e/1 l/0 e/0 v/0	/1 L/1 e/0 V/1	0	0	0	2	2
183	hedonism	h/1 e/0 d/1 o/0 n/0 i/1 s/0 m/0	h/1 e/0 D/0 o/0 n/0 i/1 s/0 m/0	0	0	1	0	1
184	ifficulties	/1 i/0 f/0 f/0 i/0 c/0 u/0 l/0 t/1 i/0 e/0 s/0	/1 i/0 f/0 F/1 i/0 C/1 u/0 L/1 t/1 i/0 e/0 s/0	0	0	0	3	3
185	synonymous	s/1 y/0 n/0 o/1 n/0 y/1 m/1 o/0 u/0 s/0	s/1 y/0 n/0 o/1 n/0 Y/0 m/1 o/0 u/0 s/0	0	1	0	0	1
186	pian	p/1 i/0 a/0 n/1 o/0	p/1 i/0 A/1 N/0 O/1	1	0	0	1	2
187	hakeem	h/1 a/0 k/1 e/0 e/0 m/0	h/1 a/0 K/0 e/0 e/0 m/0	0	0	1	0	1
188	acetyl	a/1 c/0 e/1 t/1 y/0 l/0	a/1 c/0 E/0 t/1 y/0 l/0	0	1	0	0	1
189	polarizing	p/1 o/0 l/1 a/0 r/0 i/1 z/0 i/1 n/0 g/0	p/1 o/0 L/0 a/0 r/0 i/1 z/0 i/1 n/0 g/0	0	0	1	0	1
190	gooey	g/1 o/0 o/0 e/1 y/0	g/1 o/0 o/0 E/0 y/0	0	0	1	0	1
191	primavera	p/1 r/0 i/0 m/1 a/0 v/1 e/0 r/1 a/0	p/1 r/0 i/0 m/1 a/0 v/1 e/0 R/0 A/1	0	1	0	0	1
192	ecognizable	r/1 e/0 c/0 o/1 g/0 n/1 i/0 z/0 a/1 b/1 l/0 e/0	/1 e/0 C/1 O/0 g/0 n/1 i/0 z/0 A/0 b/1 l/0 e/0	1	1	0	0	2
193	calende	c/1 a/0 l/0 e/1 n/0 d/1 e/0 r/0	c/1 a/0 l/0 E/0 n/0 D/0 E/1 r/0	0	1	1	0	2
194	proclamation	p/1 r/0 o/0 c/0 l/1 a/0 m/1 a/0 t/1 i/0 o/0 n/0	p/1 r/0 o/0 C/1 L/0 a/0 m/1 a/0 T/0 i/0 o/0 n/0	1	0	1	0	2
195	kaise	k/1 a/0 i/0 s/1 e/0 r/0	k/1 a/0 i/0 S/0 e/0 r/0	0	0	1	0	1
196	notwithstanding	n/1 o/0 t/0 w/1 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	n/1 o/0 T/1 w/1 i/0 t/0 h/0 S/0 t/0 a/0 n/0 d/0 i/1 n/0 g/0	0	0	1	0	1
197	acyl	a/1 c/0 y/1 l/0	a/1 c/0 Y/0 l/0	0	0	1	0	1
198	avion	a/1 v/1 i/0 o/0 n/0	a/1 v/1 i/0 O/1 n/0	0	0	0	1	1
199	china	c/1 h/0 i/0 n/1 a/0	c/1 h/0 i/0 N/0 A/1	0	1	0	0	1
200	thorium	t/1 h/0 o/0 r/1 i/0 u/1 m/0	t/1 h/0 o/0 R/0 i/0 u/1 m/0	0	0	1	0	1
201	boson	b/1 o/0 s/0 o/1 n/0	b/1 o/0 s/0 O/0 n/0	0	0	1	0	1
202	campanile	c/1 a/0 m/0 p/1 a/0 n/1 i/0 l/1 e/0	c/1 a/0 m/0 p/1 a/0 N/0 I/1 L/0 e/0	1	1	0	0	2
203	prestigious	p/1 r/0 e/0 s/0 t/1 i/0 g/0 i/1 o/0 u/0 s/0	p/1 r/0 e/0 S/1 t/1 i/0 g/0 i/1 o/0 u/0 s/0	0	0	0	1	1
204	timothy	t/1 i/0 m/0 o/1 t/1 h/0 y/0	t/1 i/0 m/0 O/0 t/1 h/0 y/0	0	1	0	0	1
205	enginee	e/1 n/0 g/1 i/0 n/1 e/0 e/0 r/0	/1 n/0 g/1 i/0 N/0 e/0 e/0 r/0	0	0	1	0	1
206	budget	b/1 u/0 d/0 g/0 e/1 t/0	b/1 u/0 d/0 g/0 E/0 t/0	0	0	1	0	1
207	coinsurance	c/1 o/0 i/1 n/0 s/1 u/0 r/0 a/1 n/0 c/0 e/0	c/1 o/0 I/0 n/0 S/0 u/0 r/0 a/1 n/0 c/0 e/0	0	0	2	0	2
208	paves	p/1 a/0 v/1 e/0 s/0	p/1 a/0 V/0 E/1 s/0	0	1	0	0	1
209	brazen	b/1 r/0 a/0 z/1 e/0 n/0	b/1 r/0 a/0 Z/0 e/0 n/0	0	0	1	0	1
210	fabric	f/1 a/0 b/0 r/1 i/0 c/0	f/1 a/0 b/0 R/0 i/0 C/1	0	0	1	0	1
211	landowne	/1 a/0 n/0 d/0 o/1 w/0 n/0 e/1 r/0	l/1 a/0 n/0 d/0 O/0 w/0 n/0 E/0 r/0	0	0	2	0	2
212	seldom	s/1 e/0 l/0 d/1 o/0 m/0	s/1 e/0 L/1 D/0 O/1 m/0	1	0	0	1	2
213	impedance	i/1 m/0 p/1 e/0 d/0 a/1 n/0 c/0 e/0	i/1 m/0 p/1 e/0 d/0 A/0 n/0 c/0 e/0	0	0	1	0	1
214	adept	a/1 d/0 e/1 p/0 t/0	a/1 d/0 e/1 P/1 T/1	0	0	0	2	2
215	bureaucratic	b/1 u/0 r/1 e/0 a/0 u/0 c/1 r/0 a/0 t/0 i/1 c/0	b/1 u/0 R/0 e/0 a/0 u/0 C/0 r/0 a/0 t/0 I/0 c/0	0	0	3	0	3
