	word	gold	gru pred	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
175	focusing	f/1 o/0 c/1 u/0 s/0 i/1 n/0 g/0	f/1 o/0 c/1 u/0 s/0 I/0 n/0 g/0	0	0	1	0	1
176	nomination	n/1 o/0 m/0 i/1 n/1 a/0 t/1 i/0 o/0 n/0	n/1 o/0 m/0 i/1 n/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
177	preclinical	p/1 r/0 e/0 c/1 l/0 i/0 n/0 i/1 c/1 a/0 l/0	p/1 r/0 e/0 c/1 l/0 i/0 n/0 i/1 C/0 a/0 l/0	1	0	0	0	1
178	finesse	f/1 i/0 n/1 e/0 s/0 s/0 e/0	f/1 i/0 N/0 e/0 s/0 s/0 e/0	0	0	1	0	1
179	shape	s/1 h/0 a/0 p/0 e/0	s/1 h/0 a/0 p/0 E/1	0	0	0	1	1
180	fascination	f/1 a/0 s/0 c/1 i/0 n/1 a/0 t/1 i/0 o/0 n/0	f/1 a/0 s/0 c/1 i/0 N/0 a/0 t/1 i/0 o/0 n/0	0	0	1	0	1
181	motivate	m/1 o/0 t/1 i/0 v/1 a/0 t/0 e/1 d/0	m/1 o/0 t/1 i/0 V/0 a/0 T/1 E/0 d/0	1	0	1	0	2
182	extrinsic	e/1 x/0 t/1 r/0 i/0 n/0 s/1 i/0 c/0	/1 x/0 t/1 r/0 i/0 n/0 S/0 i/0 c/0	0	0	1	0	1
183	pacity	/1 p/1 a/0 c/0 i/1 t/1 y/0	o/1 P/0 a/0 c/0 i/1 t/1 y/0	1	0	0	0	1
184	mauve	m/1 a/0 u/0 v/0 e/0	m/1 a/0 u/0 V/1 e/0	0	0	0	1	1
185	bullshit	b/1 u/0 l/0 l/0 s/1 h/0 i/0 t/0	b/1 u/0 l/0 L/1 s/1 h/0 i/0 t/0	0	0	0	1	1
186	landowne	/1 a/0 n/0 d/0 o/1 w/0 n/0 e/1 r/0	l/1 a/0 n/0 d/0 O/0 w/0 n/0 E/0 r/0	0	0	2	0	2
187	ah	w/1 a/0 h/1 o/0 o/0	w/1 a/0 H/0 o/0 o/0	0	0	1	0	1
188	eam	r/1 e/0 a/0 m/0	/1 e/0 A/1 m/0	0	0	0	1	1
189	product	p/1 r/0 o/0 d/0 u/1 c/0 t/0	p/1 r/0 o/0 D/1 U/0 c/0 T/1	1	0	0	1	2
190	marke	m/1 a/0 r/0 k/0 e/1 r/0	m/1 a/0 r/0 k/0 E/0 r/0	0	0	1	0	1
191	typographical	t/1 y/0 p/1 o/0 g/1 r/0 a/0 p/0 h/0 i/1 c/1 a/0 l/0	t/1 y/0 P/0 o/0 g/1 R/1 a/0 p/0 h/0 i/1 C/0 a/0 l/0	1	0	1	0	2
192	courtroom	c/1 o/0 u/0 r/0 t/0 r/1 o/0 o/0 m/0	c/1 o/0 u/0 r/0 T/1 R/0 o/0 o/0 m/0	1	0	0	0	1
193	precurs	p/1 r/0 e/0 c/1 u/0 r/0 s/1 o/0 r/0	p/1 r/0 e/0 c/1 u/0 r/0 S/0 o/0 r/0	0	0	1	0	1
194	ilia	i/1 l/0 i/1 a/1	i/1 l/0 i/1 A/0	1	0	0	0	1
195	shaman	s/1 h/0 a/0 m/0 a/1 n/0	s/1 h/0 a/0 m/0 A/0 n/0	0	0	1	0	1
196	fossil	f/1 o/0 s/0 s/1 i/0 l/0	f/1 o/0 s/0 S/0 i/0 l/0	0	0	1	0	1
197	hugely	h/1 u/0 g/0 e/0 l/1 y/0	h/1 u/0 g/0 e/0 L/0 y/0	0	0	1	0	1
198	crankshaft	c/1 r/0 a/0 n/0 k/0 s/1 h/0 a/0 f/0 t/0	c/1 r/0 a/0 n/0 k/0 S/0 h/0 a/0 f/0 t/0	0	0	1	0	1
199	mounting	m/1 o/0 u/0 n/0 t/0 i/1 n/0 g/0	m/1 o/0 u/0 n/0 T/1 I/0 n/0 g/0	1	0	0	0	1
200	predecess	p/1 r/0 e/0 d/0 e/1 c/1 e/0 s/0 s/1 o/0 r/0	p/1 r/0 e/0 D/1 E/0 C/0 e/0 s/0 S/0 o/0 r/0	1	0	2	0	3
201	locat	/1 o/0 c/1 a/0 t/1 o/0 r/0	l/1 o/0 c/1 a/0 T/0 o/0 r/0	0	0	1	0	1
202	ealership	/1 e/0 a/0 l/0 e/1 r/0 s/1 h/0 i/0 p/0	/1 e/0 a/0 l/0 e/1 r/0 S/0 h/0 i/0 p/0	0	0	1	0	1
203	mixe	m/1 i/0 x/0 e/0 d/0	m/1 i/0 x/0 E/1 d/0	0	0	0	1	1
204	syndicate	s/1 y/0 n/0 d/1 i/0 c/1 a/0 t/0 e/1 d/0	s/1 y/0 n/0 d/1 i/0 c/1 a/0 t/0 E/0 d/0	0	0	1	0	1
205	municipal	m/1 u/0 n/1 i/0 c/0 i/1 p/1 a/0 l/0	m/1 u/0 N/0 i/0 c/0 I/0 P/0 a/0 l/0	0	0	3	0	3
206	confederate	c/1 o/0 n/0 f/1 e/0 d/0 e/1 r/0 a/1 t/0 e/0	c/1 o/0 n/0 f/1 e/0 d/0 e/1 r/0 a/1 T/1 e/0	0	0	0	1	1
207	nome	n/1 o/0 m/0 e/0	n/1 o/0 m/0 E/1	0	0	0	1	1
208	hale	w/1 h/0 a/0 l/0 e/1 r/0	w/1 h/0 a/0 l/0 E/0 r/0	0	0	1	0	1
209	maverick	m/1 a/0 v/0 e/1 r/0 i/1 c/0 k/0	m/1 a/0 V/1 E/0 r/0 I/0 c/0 k/0	1	0	1	0	2
210	clue	c/1 l/0 u/0 e/0	c/1 l/0 u/0 E/1	0	0	0	1	1
211	elativistic	r/1 e/0 l/0 a/1 t/1 i/0 v/0 i/1 s/0 t/1 i/0 c/0	/1 e/0 L/1 A/0 T/0 i/0 v/0 i/1 s/0 T/0 i/0 c/0	1	0	2	0	3
212	affirmatively	a/1 f/0 f/1 i/0 r/0 m/0 a/1 t/1 i/0 v/0 e/0 l/1 y/0	a/1 f/0 f/1 i/0 r/0 M/1 A/0 t/1 i/0 v/0 e/0 l/1 y/0	1	0	0	0	1
213	gracious	g/1 r/0 a/0 c/1 i/0 o/0 u/0 s/0	g/1 r/0 a/0 C/0 i/0 o/0 u/0 s/0	0	0	1	0	1
214	miraculous	m/1 i/0 r/1 a/0 c/0 u/1 l/1 o/0 u/0 s/0	m/1 i/0 R/0 a/0 C/1 u/1 l/1 o/0 u/0 s/0	0	0	1	0	1
215	apt	a/1 p/0 t/0	a/1 p/0 T/1	0	0	0	1	1
216	penetrate	p/1 e/0 n/0 e/1 t/1 r/0 a/0 t/0 e/0	p/1 e/0 n/0 e/1 T/0 r/0 a/0 t/0 E/1	1	0	0	0	1
217	coenzyme	c/1 o/0 e/1 n/0 z/1 y/0 m/0 e/0	c/1 o/0 e/1 n/0 z/1 y/0 M/1 e/0	0	0	0	1	1
218	sedation	s/1 e/0 d/1 a/0 t/1 i/0 o/0 n/0	s/1 e/0 D/0 a/0 T/0 i/0 o/0 n/0	0	0	2	0	2
219	instantiate	i/1 n/0 s/1 t/0 a/0 n/0 t/1 i/0 a/1 t/0 e/0	i/1 n/0 s/1 t/0 a/0 n/0 T/0 i/0 A/0 t/0 E/1	0	0	2	0	2
220	imposing	i/1 m/0 p/1 o/0 s/0 i/1 n/0 g/0	i/1 m/0 p/1 o/0 s/0 I/0 n/0 g/0	0	0	1	0	1
221	accommodating	a/1 c/0 c/1 o/0 m/0 m/1 o/0 d/1 a/0 t/0 i/1 n/0 g/0	a/1 c/0 c/1 o/0 m/0 m/1 o/0 d/1 a/0 t/0 I/0 n/0 g/0	0	0	1	0	1
222	inadequately	i/1 n/0 a/1 d/0 e/1 q/1 u/0 a/0 t/0 e/0 l/1 y/0	i/1 n/0 a/1 d/0 e/1 q/1 u/0 a/0 t/0 E/1 l/1 y/0	0	0	0	1	1
223	eservoi	r/1 e/0 s/0 e/1 r/0 v/1 o/0 i/0 r/0	/1 e/0 S/1 E/0 r/0 V/0 O/1 i/0 r/0	1	1	0	0	2
224	enginee	e/1 n/0 g/1 i/0 n/1 e/0 e/0 r/0	/1 n/0 g/1 i/0 N/0 e/0 e/0 r/0	0	0	1	0	1
225	suffice	s/1 u/0 f/0 f/1 i/0 c/0 e/0	s/1 u/0 f/0 f/1 i/0 C/1 e/0	0	0	0	1	1
226	escission	r/1 e/0 s/1 c/0 i/0 s/0 s/1 i/0 o/0 n/0	/1 e/0 s/1 c/0 i/0 s/0 S/0 i/0 o/0 n/0	0	0	1	0	1
227	psychologically	p/1 s/0 y/0 c/1 h/0 o/0 l/1 o/0 g/0 i/1 c/1 a/0 l/0 l/1 y/0	p/1 s/0 y/0 c/1 h/0 o/0 l/1 O/1 G/1 i/1 c/1 a/0 l/0 l/1 y/0	0	0	0	2	2
228	emocratic	/1 e/0 m/0 o/1 c/1 r/0 a/0 t/0 i/1 c/0	/1 e/0 M/1 o/1 C/0 r/0 a/0 t/0 i/1 c/0	1	0	0	0	1
229	victimization	v/1 i/0 c/0 t/1 i/0 m/0 i/1 z/1 a/0 t/1 i/0 o/0 n/0	v/1 i/0 c/0 t/1 i/0 m/0 i/1 Z/0 a/0 t/1 i/0 o/0 n/0	1	0	0	0	1
230	marine	m/1 a/0 r/1 i/0 n/0 e/0	m/1 a/0 R/0 i/0 n/0 e/0	0	0	1	0	1
231	tinderbox	t/1 i/0 n/0 d/1 e/0 r/0 b/1 o/0 x/0	t/1 i/0 n/0 D/0 E/1 r/0 b/1 o/0 x/0	0	1	0	0	1
232	adj	a/1 d/0 j/0	a/1 d/0 J/1	0	0	0	1	1
233	carve	c/1 a/0 r/0 v/0 e/0	c/1 a/0 r/0 V/1 e/0	0	0	0	1	1
234	constriction	c/1 o/0 n/0 s/1 t/0 r/0 i/0 c/0 t/1 i/0 o/0 n/0	c/1 o/0 n/0 s/1 t/0 r/0 i/0 c/0 T/0 i/0 o/0 n/0	0	0	1	0	1
235	interdepartmental	i/1 n/0 t/1 e/0 r/0 d/1 e/0 p/1 a/0 r/0 t/0 m/1 e/0 n/0 t/1 a/0 l/0	i/1 n/0 t/1 e/0 r/0 d/1 e/0 p/1 a/0 r/0 t/0 m/1 e/0 n/0 T/0 a/0 l/0	0	0	1	0	1
236	transcriptional	t/1 r/0 a/0 n/0 s/1 c/0 r/0 i/0 p/0 t/1 i/0 o/0 n/0 a/1 l/0	t/1 r/0 a/0 n/0 S/0 C/1 r/0 i/0 p/0 t/1 i/0 o/0 n/0 a/1 l/0	0	1	0	0	1
237	amorous	a/1 m/0 o/1 r/1 o/0 u/0 s/0	a/1 M/1 O/0 R/0 O/1 u/0 s/0	1	1	0	0	2
238	ivestiture	/1 i/0 v/1 e/0 s/0 t/0 i/1 t/1 u/0 r/0 e/0	/1 i/0 v/1 e/0 s/0 t/0 I/0 t/1 u/0 r/0 e/0	0	1	0	0	1
239	entist	/1 e/0 n/0 t/1 i/0 s/0 t/0	/1 e/0 N/1 t/1 i/0 s/0 t/0	0	0	0	1	1
240	blade	b/1 l/0 a/0 d/0 e/0	b/1 l/0 a/0 d/0 E/1	0	0	0	1	1
241	factoring	f/1 a/0 c/0 t/1 o/0 r/0 i/1 n/0 g/0	f/1 a/0 c/0 t/1 o/0 r/0 I/0 n/0 g/0	0	0	1	0	1
242	lurke	/1 u/0 r/0 k/0 e/1 r/0	l/1 u/0 R/1 k/0 e/1 r/0	0	0	0	1	1
243	inherently	i/1 n/0 h/1 e/0 r/0 e/1 n/0 t/0 l/1 y/0	i/1 n/0 h/1 e/0 r/0 E/0 n/0 t/0 l/1 y/0	0	0	1	0	1
244	tele	t/1 e/0 l/0 e/0	t/1 e/0 l/0 E/1	0	0	0	1	1
245	efame	/1 e/0 f/1 a/0 m/0 e/1 r/0	/1 e/0 f/1 a/0 m/0 E/0 r/0	0	0	1	0	1
246	cloudy	c/1 l/0 o/0 u/0 d/0 y/1	c/1 l/0 o/0 u/0 d/0 Y/0	0	0	1	0	1
247	tipsy	t/1 i/0 p/0 s/1 y/0	t/1 i/0 p/0 S/0 y/0	0	0	1	0	1
248	timi	t/1 i/0 m/0 i/1 d/0	t/1 i/0 m/0 i/1 D/1	0	0	0	1	1
249	provoking	p/1 r/0 o/0 v/1 o/0 k/0 i/1 n/0 g/0	p/1 r/0 o/0 v/1 O/1 k/0 i/1 n/0 g/0	0	0	0	1	1
250	plastering	p/1 l/0 a/0 s/0 t/1 e/0 r/0 i/1 n/0 g/0	p/1 l/0 a/0 s/0 t/1 e/0 r/0 I/0 n/0 g/0	0	0	1	0	1
251	ischia	i/1 s/0 c/1 h/0 i/0 a/1	i/1 S/1 c/1 h/0 i/0 a/1	0	0	0	1	1
252	evelope	/1 e/0 v/1 e/0 l/0 o/1 p/0 e/1 r/0	/1 e/0 v/1 e/0 l/0 o/1 p/0 E/0 r/0	0	0	1	0	1
253	adsorption	a/1 d/0 s/1 o/0 r/0 p/0 t/1 i/0 o/0 n/0	a/1 d/0 s/1 o/0 r/0 p/0 T/0 i/0 o/0 n/0	0	0	1	0	1
254	caree	c/1 a/0 r/1 e/0 e/0 r/0	c/1 a/0 R/0 e/0 e/0 r/0	0	0	1	0	1
255	phylogeny	p/1 h/0 y/0 l/1 o/0 g/0 e/1 n/1 y/0	p/1 h/0 y/0 l/1 o/0 g/0 E/0 N/0 y/0	0	0	2	0	2
256	bazaa	b/1 a/0 z/1 a/0 a/0 r/0	b/1 a/0 Z/0 a/0 a/0 r/0	0	0	1	0	1
257	aroun	a/1 r/1 o/0 u/0 n/0 d/0	a/1 R/0 o/0 u/0 n/0 d/0	1	0	0	0	1
258	proclamation	p/1 r/0 o/0 c/0 l/1 a/0 m/1 a/0 t/1 i/0 o/0 n/0	p/1 r/0 o/0 C/1 L/0 a/0 m/1 a/0 T/0 i/0 o/0 n/0	1	0	1	0	2
259	impala	i/1 m/0 p/1 a/0 l/0 a/1	i/1 m/0 p/1 a/0 l/0 A/0	0	0	1	0	1
260	pyramidal	p/1 y/0 r/1 a/0 m/0 i/1 d/1 a/0 l/0	p/1 y/0 r/1 a/0 M/1 i/1 D/0 a/0 l/0	1	0	0	0	1
261	uly	/1 u/0 l/1 y/0	/1 u/0 L/0 y/0	0	0	1	0	1
262	audacity	a/1 u/0 d/1 a/0 c/0 i/1 t/1 y/0	a/1 u/0 d/1 a/0 C/1 I/0 T/0 y/0	1	0	1	0	2
263	condense	c/1 o/0 n/0 d/1 e/0 n/0 s/0 e/1 r/0	c/1 o/0 n/0 d/1 e/0 n/0 S/1 E/0 r/0	1	0	0	0	1
264	polygonal	p/1 o/0 l/1 y/0 g/0 o/1 n/1 a/0 l/0	p/1 o/0 L/0 Y/1 G/1 O/0 N/0 a/0 l/0	1	1	1	0	3
265	consumable	c/1 o/0 n/0 s/1 u/0 m/0 a/1 b/1 l/0 e/0	c/1 o/0 n/0 s/1 u/0 m/0 A/0 b/1 l/0 e/0	0	1	0	0	1
266	acetyl	a/1 c/0 e/1 t/1 y/0 l/0	a/1 c/0 E/0 t/1 y/0 l/0	0	1	0	0	1
267	budgete	b/1 u/0 d/0 g/0 e/1 t/0 e/1 d/0	b/1 u/0 d/0 g/0 E/0 t/0 E/0 d/0	0	0	2	0	2
268	prevalent	p/1 r/0 e/0 v/0 a/1 l/1 e/0 n/0 t/0	p/1 r/0 e/0 V/1 A/0 L/0 e/0 n/0 t/0	1	0	1	0	2
269	chronological	c/1 h/0 r/0 o/0 n/0 o/1 l/1 o/0 g/0 i/1 c/1 a/0 l/0	c/1 h/0 r/0 o/0 n/0 o/1 l/1 o/0 G/1 i/1 c/1 a/0 l/0	0	0	0	1	1
270	torpe	t/1 o/0 r/0 p/1 e/0 d/1 o/0	t/1 o/0 r/0 p/1 e/0 D/0 o/0	0	0	1	0	1
271	extractions	e/1 x/0 t/1 r/0 a/0 c/0 t/1 i/0 o/0 n/0 s/0	/1 x/0 t/1 r/0 a/0 c/0 T/0 i/0 o/0 n/0 S/1	0	0	1	0	1
272	exchangeable	e/1 x/0 c/1 h/0 a/0 n/0 g/0 e/0 a/1 b/1 l/0 e/0	/1 x/0 c/1 h/0 a/0 n/0 g/0 e/0 A/0 b/1 l/0 e/0	0	1	0	0	1
273	thopedic	/1 r/0 t/1 h/0 o/0 p/1 e/0 d/1 i/0 c/0	o/1 r/0 t/1 h/0 o/0 p/1 e/0 D/0 i/0 c/0	0	0	1	0	1
274	synonymous	s/1 y/0 n/0 o/1 n/0 y/1 m/1 o/0 u/0 s/0	s/1 y/0 n/0 o/1 n/0 Y/0 m/1 o/0 u/0 s/0	0	1	0	0	1
275	axe	a/1 x/0 e/0	a/1 x/0 E/1	0	0	0	1	1
276	barb	b/1 a/0 r/0 b/0	b/1 a/0 r/0 B/1	0	0	0	1	1
277	pajamas	p/1 a/0 j/1 a/0 m/0 a/1 s/0	p/1 a/0 j/1 a/0 m/0 A/0 s/0	0	0	1	0	1
278	bora	b/1 o/0 r/1 a/0	b/1 o/0 R/0 a/0	0	0	1	0	1
279	lube	/1 u/0 b/0 e/0	l/1 u/0 B/1 e/0	0	0	0	1	1
280	horticultural	h/1 o/0 r/0 t/1 i/0 c/1 u/0 l/0 t/1 u/0 r/0 a/1 l/0	h/1 o/0 r/0 T/0 i/0 c/1 u/0 L/1 t/1 u/0 r/0 a/1 l/0	0	0	1	0	1
281	transcribe	t/1 r/0 a/0 n/0 s/1 c/0 r/0 i/0 b/0 e/0 d/0	t/1 r/0 a/0 n/0 S/0 C/1 r/0 i/0 b/0 e/0 d/0	0	1	0	0	1
282	singles	s/1 i/0 n/0 g/1 l/0 e/0 s/0	s/1 i/0 n/0 G/0 l/0 e/0 s/0	0	0	1	0	1
283	myth	m/1 y/0 t/0 h/0	m/1 y/0 T/1 h/0	0	0	0	1	1
284	agitation	a/1 g/0 i/1 t/1 a/0 t/1 i/0 o/0 n/0	a/1 G/1 i/1 t/1 a/0 t/1 i/0 o/0 n/0	0	0	0	1	1
285	amortization	a/1 m/0 o/1 r/0 t/1 i/0 z/1 a/0 t/1 i/0 o/0 n/0	a/1 M/1 O/0 r/0 t/1 i/0 Z/0 a/0 t/1 i/0 o/0 n/0	1	0	1	0	2
286	ejaculation	e/1 j/1 a/0 c/0 u/1 l/1 a/0 t/1 i/0 o/0 n/0	/1 j/1 a/0 c/0 u/1 l/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
287	c	c/1 o/0 r/0 r/0	c/1 o/0 r/0 R/1	0	0	0	1	1
288	elimination	e/1 l/1 i/0 m/0 i/1 n/1 a/0 t/1 i/0 o/0 n/0	/1 l/1 i/0 m/0 i/1 n/1 a/0 T/0 i/0 o/0 n/0	0	0	1	0	1
289	yez	/1 y/1 e/0 z/0	o/1 Y/0 e/0 z/0	1	0	0	0	1
290	arse	a/1 r/0 s/0 e/0	a/1 r/0 S/1 e/0	0	0	0	1	1
291	harmful	h/1 a/0 r/0 m/0 f/1 u/0 l/0	h/1 a/0 r/0 M/1 f/1 u/0 l/0	0	0	0	1	1
292	blatantly	b/1 l/0 a/0 t/1 a/0 n/0 t/0 l/1 y/0	b/1 l/0 a/0 T/0 a/0 n/0 t/0 l/1 y/0	0	0	1	0	1
293	create	c/1 r/0 e/0 a/1 t/0 e/0	c/1 r/0 e/0 a/1 T/1 E/1	0	0	0	2	2
294	ptimization	/1 p/0 t/1 i/0 m/1 i/0 z/1 a/0 t/1 i/0 o/0 n/0	o/1 p/0 t/1 i/0 m/1 i/0 Z/0 a/0 t/1 i/0 o/0 n/0	0	0	1	0	1
295	forme	f/1 o/0 r/0 m/0 e/1 r/0	f/1 o/0 r/0 M/1 E/0 r/0	1	0	0	0	1
296	cylinde	c/1 y/0 l/0 i/1 n/0 d/1 e/0 r/0	c/1 y/0 L/1 I/0 n/0 d/1 e/0 r/0	1	0	0	0	1
297	igitally	/1 i/0 g/0 i/1 t/0 a/1 l/0 l/1 y/0	/1 i/0 g/0 i/1 t/0 A/0 l/0 l/1 y/0	0	0	1	0	1
298	faceless	f/1 a/0 c/0 e/0 l/1 e/0 s/0 s/0	f/1 a/0 c/0 e/0 L/0 e/0 s/0 s/0	0	0	1	0	1
299	invalidate	i/1 n/0 v/1 a/0 l/0 i/1 d/1 a/0 t/0 e/0	i/1 n/0 v/1 a/0 l/0 i/1 D/0 a/0 t/0 e/0	1	0	0	0	1
300	bartende	b/1 a/0 r/0 t/1 e/0 n/0 d/0 e/1 r/0	b/1 a/0 r/0 T/0 e/0 n/0 d/0 e/1 r/0	0	0	1	0	1
301	surface	s/1 u/0 r/0 f/1 a/0 c/0 e/0	s/1 u/0 r/0 F/0 a/0 c/0 e/0	0	0	1	0	1
302	guanine	g/1 u/0 a/0 n/1 i/0 n/0 e/0	g/1 u/0 a/0 N/0 I/1 n/0 e/0	0	1	0	0	1
303	inefficiency	i/1 n/0 e/1 f/0 f/1 i/0 c/1 i/0 e/0 n/0 c/1 y/0	i/1 n/0 e/1 F/1 f/1 i/0 C/0 i/0 e/0 n/0 C/0 y/0	0	0	2	0	2
304	umou	r/1 u/0 m/1 o/0 u/0 r/0	/1 u/0 M/0 o/0 u/0 r/0	0	0	1	0	1
305	lazy	/1 a/0 z/1 y/0	l/1 a/0 Z/0 y/0	0	0	1	0	1
306	chevalie	c/1 h/0 e/0 v/0 a/1 l/1 i/0 e/0 r/0	c/1 h/0 e/0 v/0 a/1 L/0 I/1 e/0 r/0	1	0	0	0	1
307	ing	/1 i/0 n/0 g/0	/1 i/0 n/0 G/1	0	0	0	1	1
308	ue	/1 u/0 e/0	/1 u/0 E/1	0	0	0	1	1
309	microbiological	m/1 i/0 c/1 r/0 o/0 b/1 i/0 o/1 l/1 o/0 g/0 i/1 c/1 a/0 l/0	m/1 i/0 c/1 r/0 o/0 b/1 i/0 o/1 L/0 O/1 G/1 i/1 c/1 a/0 l/0	1	0	0	1	2
310	tomb	t/1 o/0 m/0 b/0	t/1 o/0 m/0 B/1	0	0	0	1	1
311	calorimete	c/1 a/0 l/0 o/1 r/1 i/0 m/0 e/1 t/1 e/0 r/0	c/1 a/0 l/0 o/1 r/1 i/0 M/1 E/0 t/1 e/0 r/0	1	0	0	0	1
312	conceptualization	c/1 o/0 n/0 c/1 e/0 p/0 t/1 u/0 a/1 l/0 i/1 z/1 a/0 t/1 i/0 o/0 n/0	c/1 o/0 n/0 c/1 e/0 p/0 t/1 u/0 a/1 l/0 i/1 Z/0 a/0 t/1 i/0 o/0 n/0	1	0	0	0	1
313	selfless	s/1 e/0 l/0 f/0 l/1 e/0 s/0 s/0	s/1 e/0 L/1 f/0 l/1 e/0 s/0 s/0	0	0	0	1	1
314	carte	c/1 a/0 r/0 t/0 e/0	c/1 a/0 r/0 T/1 e/0	0	0	0	1	1
315	generating	g/1 e/0 n/0 e/1 r/0 a/1 t/0 i/1 n/0 g/0	g/1 e/0 n/0 e/1 r/0 a/1 T/1 I/0 n/0 g/0	1	0	0	0	1
316	corolla	c/1 o/0 r/1 o/0 l/0 l/1 a/0	c/1 o/0 R/0 O/1 L/1 l/1 a/0	0	1	0	1	2
317	gases	g/1 a/0 s/0 e/1 s/0	g/1 a/0 s/0 E/0 s/0	0	0	1	0	1
318	buffe	b/1 u/0 f/0 f/0 e/1 r/0	b/1 u/0 f/0 F/1 E/0 r/0	1	0	0	0	1
319	alton	/1 a/0 l/0 t/1 o/0 n/0	/1 a/0 l/0 T/0 o/0 n/0	0	0	1	0	1
320	catchy	c/1 a/0 t/0 c/0 h/0 y/1	c/1 a/0 t/0 c/0 h/0 Y/0	0	0	1	0	1
321	specialise	s/1 p/0 e/0 c/1 i/0 a/0 l/0 i/1 s/0 e/0	s/1 p/0 e/0 C/0 i/0 a/0 l/0 i/1 s/0 e/0	0	0	1	0	1
322	stardom	s/1 t/0 a/0 r/0 d/1 o/0 m/0	s/1 t/0 a/0 r/0 D/0 o/0 m/0	0	0	1	0	1
323	phosphorylate	p/1 h/0 o/0 s/0 p/1 h/0 o/0 r/1 y/0 l/0 a/1 t/0 e/1 d/0	p/1 h/0 o/0 s/0 p/1 h/0 o/0 R/0 y/0 l/0 a/1 T/1 E/0 d/0	1	0	1	0	2
324	examining	e/1 x/0 a/1 m/0 i/1 n/0 i/1 n/0 g/0	/1 x/0 a/1 m/0 i/1 n/0 I/0 n/0 g/0	0	0	1	0	1
325	count	c/1 o/0 u/0 n/0 t/0	c/1 o/0 u/0 n/0 T/1	0	0	0	1	1
326	catche	c/1 a/0 t/0 c/0 h/0 e/1 r/0	c/1 a/0 t/0 c/0 h/0 E/0 r/0	0	0	1	0	1
327	ella	/1 e/0 l/0 l/1 a/0	/1 e/0 L/1 L/0 a/0	1	0	0	0	1
328	viticulture	v/1 i/0 t/0 i/1 c/1 u/0 l/0 t/1 u/0 r/0 e/0	v/1 i/0 t/0 i/1 c/1 u/0 L/1 t/1 u/0 r/0 e/0	0	0	0	1	1
329	embracing	e/1 m/0 b/1 r/0 a/0 c/0 i/1 n/0 g/0	/1 m/0 b/1 r/0 a/0 c/0 I/0 n/0 g/0	0	0	1	0	1
330	fall	f/1 a/0 l/0 l/1 o/0 w/0	f/1 a/0 l/0 L/0 o/0 w/0	0	0	1	0	1
331	matinee	m/1 a/0 t/0 i/1 n/1 e/0 e/0	m/1 a/0 T/1 I/0 N/0 e/0 e/0	1	0	1	0	2
332	ism	i/1 s/0 m/0	i/1 S/1 m/0	0	0	0	1	1
333	acing	r/1 a/0 c/0 i/1 n/0 g/0	/1 a/0 c/0 I/0 n/0 g/0	0	0	1	0	1
334	stormy	s/1 t/0 o/0 r/0 m/0 y/1	s/1 t/0 o/0 r/0 M/1 Y/0	1	0	0	0	1
335	evitalization	r/1 e/0 v/1 i/0 t/1 a/0 l/0 i/1 z/1 a/0 t/1 i/0 o/0 n/0	/1 e/0 v/1 i/0 T/0 a/0 l/0 i/1 Z/0 a/0 t/1 i/0 o/0 n/0	1	0	1	0	2
336	advis	a/1 d/0 v/1 i/0 s/1 o/0 r/0	a/1 d/0 v/1 i/0 S/0 o/0 r/0	0	0	1	0	1
337	cordon	c/1 o/0 r/0 d/1 o/0 n/0	c/1 o/0 r/0 D/0 o/0 n/0	0	0	1	0	1
338	pavement	p/1 a/0 v/0 e/0 m/1 e/0 n/0 t/0	p/1 a/0 v/0 E/1 m/1 e/0 n/0 t/0	0	0	0	1	1
339	ings	/1 o/0 i/1 n/0 g/0 s/0	/1 o/0 I/0 n/0 g/0 s/0	0	0	1	0	1
340	signalling	s/1 i/0 g/0 n/1 a/0 l/0 l/1 i/0 n/0 g/0	s/1 i/0 g/0 n/1 a/0 l/0 L/0 I/1 n/0 g/0	0	1	0	0	1
341	inefficient	i/1 n/0 e/1 f/0 f/1 i/0 c/1 i/0 e/0 n/0 t/0	i/1 n/0 e/1 F/1 f/1 i/0 C/0 i/0 e/0 n/0 t/0	0	0	1	0	1
342	chaff	c/1 h/0 a/0 f/0 f/0	c/1 h/0 a/0 f/0 F/1	0	0	0	1	1
343	pian	p/1 i/0 a/0 n/1 o/0	p/1 i/0 A/1 N/0 O/1	1	0	0	1	2
344	etribution	r/1 e/0 t/0 r/1 i/0 b/1 u/0 t/1 i/0 o/0 n/0	/1 e/0 T/1 r/1 i/0 B/0 U/1 T/0 i/0 o/0 n/0	1	1	0	0	2
345	noma	n/1 o/0 m/1 a/0 d/0	n/1 o/0 M/0 a/0 d/0	0	0	1	0	1
346	noticing	n/1 o/0 t/1 i/0 c/0 i/1 n/0 g/0	n/1 o/0 t/1 i/0 c/0 I/0 n/0 g/0	0	0	1	0	1
347	harpoon	h/1 a/0 r/0 p/1 o/0 o/0 n/0	h/1 a/0 r/0 P/0 o/0 o/0 n/0	0	0	1	0	1
