	item	gold	gru	elman
176	mythological	m/1 y/0 t/0 h/0 o/1 l/1 o/0 g/0 i/1 c/1 a/0 l/0	m/1 y/0 T/1 h/0 O/0 l/1 o/0 g/0 i/1 c/1 a/0 l/0	m/1 y/0 T/1 h/0 O/0 L/0 O/1 G/1 i/1 c/1 a/0 l/0
177	camellia	c/1 a/0 m/1 e/0 l/0 l/1 i/0 a/0	c/1 a/0 m/1 e/0 l/0 l/1 i/0 A/1	c/1 a/0 M/0 E/1 L/1 l/1 i/0 A/1
178	beyon	b/1 e/0 y/1 o/0 n/0 d/0	b/1 e/0 Y/0 O/1 n/0 d/0	b/1 e/0 Y/0 O/1 n/0 D/1
179	penitentiary	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 r/1 y/0	p/1 e/0 n/0 i/1 t/1 e/0 n/0 t/1 i/0 a/0 R/0 Y/1	p/1 e/0 n/0 i/1 t/1 e/0 N/1 T/0 i/0 a/0 R/0 Y/1
180	ligan	/1 i/0 g/0 a/1 n/0 d/0	l/1 i/0 G/1 A/0 n/0 d/0	l/1 i/0 g/0 A/0 n/0 D/1
181	premature	p/1 r/0 e/0 m/0 a/1 t/1 u/0 r/0 e/0	p/1 r/0 e/0 M/1 A/0 t/1 u/0 r/0 e/0	p/1 r/0 e/0 m/0 A/0 T/0 u/0 r/0 e/0
182	piecemeal	p/1 i/0 e/0 c/0 e/0 m/1 e/0 a/0 l/0	p/1 i/0 e/0 c/0 e/0 m/1 e/0 A/1 l/0	p/1 i/0 E/1 c/0 e/0 m/1 e/0 a/0 l/0
183	basil	b/1 a/0 s/0 i/1 l/0	b/1 a/0 S/1 I/0 l/0	b/1 a/0 s/0 I/0 l/0
184	coincidental	c/1 o/0 i/1 n/0 c/1 i/0 d/1 e/0 n/0 t/1 a/0 l/0	c/1 o/0 I/0 n/0 c/1 i/0 d/1 e/0 n/0 t/1 a/0 l/0	c/1 o/0 I/0 n/0 c/1 i/0 D/0 e/0 n/0 T/0 a/0 l/0
185	atelie	a/1 t/0 e/1 l/0 i/1 e/0 r/0	a/1 t/0 E/0 L/1 I/0 E/1 r/0	a/1 t/0 E/0 L/1 I/0 e/0 r/0
186	promissory	p/1 r/0 o/0 m/0 i/1 s/0 s/1 o/0 r/1 y/0	p/1 r/0 o/0 m/0 I/0 s/0 s/1 o/0 r/1 y/0	p/1 r/0 o/0 M/1 I/0 s/0 s/1 o/0 R/0 y/0
187	lanai	/1 a/0 n/1 a/0 i/1	l/1 a/0 n/1 a/0 I/0	l/1 a/0 N/0 a/0 I/0
189	girly	g/1 i/0 r/0 l/0 y/1	g/1 i/0 r/0 L/1 y/1	g/1 i/0 r/0 l/0 Y/0
190	promising	p/1 r/0 o/0 m/0 i/1 s/0 i/1 n/0 g/0	p/1 r/0 o/0 M/1 i/1 s/0 i/1 n/0 g/0	p/1 r/0 o/0 M/1 I/0 s/0 I/0 n/0 g/0
191	blasphemy	b/1 l/0 a/0 s/0 p/1 h/0 e/0 m/1 y/0	b/1 l/0 a/0 s/0 p/1 h/0 e/0 M/0 Y/1	b/1 l/0 a/0 s/0 P/0 h/0 e/0 M/0 y/0
192	elastome	e/1 l/1 a/0 s/0 t/1 o/0 m/1 e/0 r/0	/1 l/1 a/0 s/0 t/1 o/0 M/0 E/1 r/0	/1 l/1 a/0 s/0 t/1 o/0 M/0 e/0 r/0
193	cabriolet	c/1 a/0 b/0 r/1 i/0 o/1 l/1 e/0 t/0	c/1 a/0 B/1 R/0 i/0 o/1 l/1 e/0 t/0	c/1 a/0 b/0 R/0 i/0 o/1 L/0 e/0 t/0
194	curative	c/1 u/0 r/0 a/1 t/1 i/0 v/0 e/0	c/1 u/0 R/1 A/0 t/1 i/0 v/0 e/0	c/1 u/0 r/0 A/0 t/1 i/0 v/0 e/0
195	maranatha	m/1 a/0 r/0 a/1 n/1 a/0 t/0 h/0 a/1	m/1 a/0 R/1 A/0 n/1 a/0 T/1 h/0 A/0	m/1 a/0 r/0 A/0 N/0 a/0 T/1 h/0 A/0
196	juxtaposition	j/1 u/0 x/0 t/1 a/0 p/1 o/0 s/1 i/0 t/1 i/0 o/0 n/0	j/1 u/0 x/0 t/1 a/0 P/0 O/1 s/1 i/0 t/1 i/0 o/0 n/0	j/1 u/0 x/0 t/1 a/0 P/0 o/0 s/1 i/0 t/1 i/0 o/0 n/0
197	emuneration	r/1 e/0 m/1 u/0 n/1 e/0 r/0 a/1 t/1 i/0 o/0 n/0	/1 e/0 m/1 u/0 N/0 E/1 r/0 a/1 t/1 i/0 o/0 n/0	/1 e/0 m/1 u/0 N/0 e/0 r/0 a/1 T/0 i/0 o/0 n/0
198	epos	e/1 p/0 o/1 s/0	/1 P/1 O/0 s/0	/1 P/1 o/1 s/0
199	savi	s/1 a/0 v/0 i/1 o/0 r/0	s/1 a/0 V/1 I/0 o/0 r/0	s/1 a/0 v/0 i/1 O/1 r/0
200	bandwagon	b/1 a/0 n/0 d/0 w/1 a/0 g/0 o/1 n/0	b/1 a/0 n/0 d/0 w/1 a/0 G/1 O/0 n/0	b/1 a/0 n/0 d/0 w/1 a/0 g/0 O/0 n/0
202	variety	v/1 a/0 r/1 i/0 e/1 t/1 y/0	v/1 a/0 R/0 I/1 e/1 t/1 y/0	v/1 a/0 R/0 I/1 E/0 T/0 y/0
203	corticosteroi	c/1 o/0 r/0 t/1 i/0 c/1 o/0 s/1 t/0 e/0 r/0 o/1 i/0 d/0	c/1 o/0 r/0 t/1 i/0 c/1 o/0 S/0 T/1 e/0 r/0 o/1 i/0 d/0	c/1 o/0 r/0 t/1 i/0 c/1 o/0 S/0 t/0 e/0 r/0 o/1 i/0 d/0
204	alles	/1 a/0 l/0 l/0 e/0 s/0	/1 a/0 l/0 L/1 e/0 s/0	/1 a/0 l/0 l/0 E/1 s/0
205	isle	i/1 s/0 l/0 e/0	i/1 S/1 l/0 e/0	i/1 S/1 L/1 e/0
206	biogeography	b/1 i/0 o/1 g/1 e/0 o/1 g/0 r/1 a/0 p/1 h/0 y/0	b/1 i/0 o/1 g/1 e/0 O/0 g/0 r/1 a/0 p/1 h/0 y/0	b/1 i/0 o/1 g/1 e/0 o/1 g/0 r/1 a/0 P/0 h/0 y/0
207	ave	a/1 v/1 e/0 r/0	a/1 V/0 E/1 r/0	a/1 v/1 e/0 R/1
208	budgete	b/1 u/0 d/0 g/0 e/1 t/0 e/1 d/0	b/1 u/0 d/0 G/1 E/0 t/0 e/1 d/0	b/1 u/0 d/0 g/0 E/0 t/0 E/0 d/0
209	abrupt	a/1 b/0 r/1 u/0 p/0 t/0	a/1 B/1 R/0 u/0 p/0 t/0	a/1 B/1 R/0 u/0 p/0 T/1
211	fedora	f/1 e/0 d/1 o/0 r/1 a/0	f/1 e/0 D/0 O/1 r/1 a/0	f/1 e/0 D/0 o/0 R/0 a/0
212	turtleneck	t/1 u/0 r/0 t/1 l/0 e/0 n/1 e/0 c/0 k/0	t/1 u/0 r/0 T/0 L/1 e/0 n/1 e/0 c/0 k/0	t/1 u/0 r/0 t/1 L/1 e/0 N/0 e/0 c/0 k/0
213	alert	a/1 l/1 e/0 r/0 t/0	a/1 L/0 E/1 r/0 t/0	a/1 L/0 e/0 r/0 T/1
214	pullove	p/1 u/0 l/0 l/0 o/1 v/1 e/0 r/0	p/1 u/0 l/0 L/1 O/0 v/1 E/1 r/0	p/1 u/0 l/0 L/1 O/0 V/0 e/0 r/0
216	perturbative	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 t/1 i/0 v/0 e/0	p/1 e/0 r/0 t/1 u/0 r/0 B/0 A/1 t/1 i/0 v/0 e/0	p/1 e/0 r/0 t/1 u/0 r/0 b/1 a/0 T/0 i/0 v/0 e/0
217	stylistic	s/1 t/0 y/0 l/1 i/0 s/0 t/1 i/0 c/0	s/1 t/0 y/0 L/0 I/1 s/0 t/1 i/0 c/0	s/1 t/0 y/0 l/1 I/1 s/0 T/0 i/0 c/0
218	andy	r/1 a/0 n/0 d/0 y/1	/1 a/0 n/0 D/1 y/1	/1 a/0 n/0 d/0 Y/0
219	maraude	m/1 a/0 r/1 a/0 u/0 d/0 e/1 r/0	m/1 a/0 R/0 A/1 u/0 D/1 e/1 r/0	m/1 a/0 R/0 a/0 u/0 D/1 E/0 r/0
220	epetition	r/1 e/0 p/0 e/1 t/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 P/1 E/0 t/1 i/0 t/1 i/0 o/0 n/0	/1 e/0 P/1 E/0 T/0 I/1 t/1 i/0 o/0 n/0
223	eputable	r/1 e/0 p/0 u/1 t/1 a/0 b/1 l/0 e/0	/1 e/0 P/1 U/0 T/0 A/1 b/1 l/0 e/0	/1 e/0 P/1 U/0 T/0 a/0 b/1 l/0 e/0
224	groceries	g/1 r/0 o/0 c/1 e/0 r/0 i/1 e/0 s/0	g/1 r/0 o/0 C/0 E/1 r/0 i/1 e/0 s/0	g/1 r/0 o/0 C/0 e/0 r/0 i/1 e/0 s/0
225	mammalian	m/1 a/0 m/0 m/1 a/0 l/1 i/0 a/1 n/0	m/1 a/0 m/0 m/1 a/0 l/1 I/1 a/1 n/0	m/1 a/0 m/0 m/1 a/0 L/0 I/1 A/0 n/0
226	foothill	f/1 o/0 o/0 t/0 h/1 i/0 l/0 l/0	f/1 o/0 o/0 t/0 H/0 I/1 l/0 l/0	f/1 o/0 o/0 t/0 H/0 i/0 l/0 l/0
227	imagines	i/1 m/1 a/0 g/1 i/0 n/1 e/0 s/0	i/1 M/0 A/1 G/0 I/1 n/1 e/0 s/0	i/1 M/0 A/1 G/0 I/1 N/0 e/0 s/0
228	shamanism	s/1 h/0 a/0 m/1 a/0 n/0 i/1 s/0 m/0	s/1 h/0 a/0 M/0 A/1 n/0 i/1 s/0 m/0	s/1 h/0 a/0 M/0 a/0 n/0 i/1 s/0 m/0
229	hazelnut	h/1 a/0 z/1 e/0 l/0 n/1 u/0 t/0	h/1 a/0 Z/0 E/1 l/0 n/1 u/0 t/0	h/1 a/0 Z/0 e/0 l/0 n/1 u/0 t/0
230	finde	f/1 i/0 n/0 d/0 e/1 r/0	f/1 i/0 n/0 D/1 E/0 r/0	f/1 i/0 n/0 d/0 E/0 r/0
231	elev	e/1 l/0 e/0 v/0	/1 L/1 e/0 v/0	/1 L/1 e/0 V/1
232	hedonism	h/1 e/0 d/1 o/0 n/0 i/1 s/0 m/0	h/1 e/0 D/0 O/1 n/0 i/1 s/0 m/0	h/1 e/0 D/0 o/0 n/0 i/1 s/0 m/0
233	ifficulties	/1 i/0 f/0 f/0 i/0 c/0 u/0 l/0 t/1 i/0 e/0 s/0	/1 i/0 f/0 F/1 i/0 C/1 u/0 l/0 t/1 i/0 e/0 s/0	/1 i/0 f/0 F/1 i/0 C/1 u/0 L/1 t/1 i/0 e/0 s/0
234	synonymous	s/1 y/0 n/0 o/1 n/0 y/1 m/1 o/0 u/0 s/0	s/1 y/0 N/1 O/0 n/0 y/1 m/1 o/0 u/0 s/0	s/1 y/0 n/0 o/1 n/0 Y/0 m/1 o/0 u/0 s/0
235	pian	p/1 i/0 a/0 n/1 o/0	p/1 i/0 A/1 n/1 O/1	p/1 i/0 A/1 N/0 O/1
236	hakeem	h/1 a/0 k/1 e/0 e/0 m/0	h/1 a/0 K/0 E/1 e/0 m/0	h/1 a/0 K/0 e/0 e/0 m/0
237	acetyl	a/1 c/0 e/1 t/1 y/0 l/0	a/1 C/1 E/0 t/1 Y/1 l/0	a/1 c/0 E/0 t/1 y/0 l/0
238	polarizing	p/1 o/0 l/1 a/0 r/0 i/1 z/0 i/1 n/0 g/0	p/1 o/0 L/0 A/1 r/0 i/1 z/0 i/1 n/0 g/0	p/1 o/0 L/0 a/0 r/0 i/1 z/0 i/1 n/0 g/0
239	gooey	g/1 o/0 o/0 e/1 y/0	g/1 o/0 o/0 E/0 Y/1	g/1 o/0 o/0 E/0 y/0
240	primavera	p/1 r/0 i/0 m/1 a/0 v/1 e/0 r/1 a/0	p/1 r/0 i/0 m/1 a/0 V/0 E/1 R/0 A/1	p/1 r/0 i/0 m/1 a/0 v/1 e/0 R/0 A/1
241	ecognizable	r/1 e/0 c/0 o/1 g/0 n/1 i/0 z/0 a/1 b/1 l/0 e/0	/1 e/0 C/1 O/0 g/0 n/1 i/0 Z/1 A/0 b/1 l/0 e/0	/1 e/0 C/1 O/0 g/0 n/1 i/0 z/0 A/0 b/1 l/0 e/0
242	calende	c/1 a/0 l/0 e/1 n/0 d/1 e/0 r/0	c/1 a/0 l/0 e/1 n/0 D/0 E/1 r/0	c/1 a/0 l/0 E/0 n/0 D/0 E/1 r/0
243	proclamation	p/1 r/0 o/0 c/0 l/1 a/0 m/1 a/0 t/1 i/0 o/0 n/0	p/1 r/0 o/0 C/1 L/0 a/0 m/1 a/0 t/1 i/0 o/0 n/0	p/1 r/0 o/0 C/1 L/0 a/0 m/1 a/0 T/0 i/0 o/0 n/0
244	kaise	k/1 a/0 i/0 s/1 e/0 r/0	k/1 a/0 i/0 S/0 E/1 r/0	k/1 a/0 i/0 S/0 e/0 r/0
245	notwithstanding	n/1 o/0 t/0 w/1 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	n/1 o/0 T/1 W/0 i/0 t/0 h/0 s/1 t/0 a/0 n/0 d/0 i/1 n/0 g/0	n/1 o/0 T/1 w/1 i/0 t/0 h/0 S/0 t/0 a/0 n/0 d/0 i/1 n/0 g/0
246	acyl	a/1 c/0 y/1 l/0	a/1 C/1 y/1 l/0	a/1 c/0 Y/0 l/0
247	avion	a/1 v/1 i/0 o/0 n/0	a/1 V/0 I/1 o/0 n/0	a/1 v/1 i/0 O/1 n/0
248	china	c/1 h/0 i/0 n/1 a/0	c/1 h/0 i/0 n/1 A/1	c/1 h/0 i/0 N/0 A/1
249	thorium	t/1 h/0 o/0 r/1 i/0 u/1 m/0	t/1 h/0 o/0 r/1 I/1 u/1 m/0	t/1 h/0 o/0 R/0 i/0 u/1 m/0
251	boson	b/1 o/0 s/0 o/1 n/0	b/1 o/0 S/1 O/0 n/0	b/1 o/0 s/0 O/0 n/0
252	campanile	c/1 a/0 m/0 p/1 a/0 n/1 i/0 l/1 e/0	c/1 a/0 m/0 p/1 a/0 n/1 i/0 L/0 e/0	c/1 a/0 m/0 p/1 a/0 N/0 I/1 L/0 e/0
253	prestigious	p/1 r/0 e/0 s/0 t/1 i/0 g/0 i/1 o/0 u/0 s/0	p/1 r/0 e/0 s/0 t/1 i/0 G/1 I/0 o/0 u/0 s/0	p/1 r/0 e/0 S/1 t/1 i/0 g/0 i/1 o/0 u/0 s/0
254	timothy	t/1 i/0 m/0 o/1 t/1 h/0 y/0	t/1 i/0 m/0 o/1 t/1 h/0 Y/1	t/1 i/0 m/0 O/0 t/1 h/0 y/0
255	enginee	e/1 n/0 g/1 i/0 n/1 e/0 e/0 r/0	/1 n/0 g/1 i/0 N/0 E/1 e/0 r/0	/1 n/0 g/1 i/0 N/0 e/0 e/0 r/0
256	budget	b/1 u/0 d/0 g/0 e/1 t/0	b/1 u/0 d/0 G/1 E/0 t/0	b/1 u/0 d/0 g/0 E/0 t/0
257	coinsurance	c/1 o/0 i/1 n/0 s/1 u/0 r/0 a/1 n/0 c/0 e/0	c/1 o/0 I/0 n/0 s/1 u/0 R/1 a/1 n/0 c/0 e/0	c/1 o/0 I/0 n/0 S/0 u/0 r/0 a/1 n/0 c/0 e/0
258	paves	p/1 a/0 v/1 e/0 s/0	p/1 a/0 V/0 e/0 s/0	p/1 a/0 V/0 E/1 s/0
259	brazen	b/1 r/0 a/0 z/1 e/0 n/0	b/1 r/0 a/0 Z/0 E/1 n/0	b/1 r/0 a/0 Z/0 e/0 n/0
260	fabric	f/1 a/0 b/0 r/1 i/0 c/0	f/1 a/0 B/1 R/0 i/0 c/0	f/1 a/0 b/0 R/0 i/0 C/1
261	landowne	/1 a/0 n/0 d/0 o/1 w/0 n/0 e/1 r/0	l/1 a/0 n/0 D/1 O/0 w/0 n/0 e/1 r/0	l/1 a/0 n/0 d/0 O/0 w/0 n/0 E/0 r/0
262	seldom	s/1 e/0 l/0 d/1 o/0 m/0	s/1 e/0 l/0 D/0 O/1 m/0	s/1 e/0 L/1 D/0 O/1 m/0
263	impedance	i/1 m/0 p/1 e/0 d/0 a/1 n/0 c/0 e/0	i/1 m/0 p/1 e/0 D/1 A/0 n/0 c/0 e/0	i/1 m/0 p/1 e/0 d/0 A/0 n/0 c/0 e/0
264	adept	a/1 d/0 e/1 p/0 t/0	a/1 D/1 E/0 p/0 t/0	a/1 d/0 e/1 P/1 T/1
268	bureaucratic	b/1 u/0 r/1 e/0 a/0 u/0 c/1 r/0 a/0 t/0 i/1 c/0	b/1 u/0 r/1 e/0 A/1 U/1 c/1 r/0 a/0 t/0 i/1 c/0	b/1 u/0 R/0 e/0 a/0 u/0 C/0 r/0 a/0 t/0 I/0 c/0
